ID,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38,gene_names
ENSG00000000003,0,2,0,0,0,0,64,71,963,0,4,0,0,0,572,TSPAN6
ENSG00000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TNMD
ENSG00000000419,410,655,29,706,415,424,707,535,1021,771,1128,535,888,542,645,DPM1
ENSG00000000457,477,292,13,490,109,475,643,165,470,1630,887,643,604,362,496,SCYL3
ENSG00000000460,593,354,22,808,140,654,826,143,441,2339,1428,885,648,555,317,C1orf112
ENSG00000000938,10,14,0,3,24,1188,8,1,0,74,16,9,2977,134,0,FGR
ENSG00000000971,0,0,2,16,0,0,228,5,971,4,4,1,0,0,2560,CFH
ENSG00000001036,12,2,0,4,8,4,12,334,2766,55,15,174,0,2,2069,FUCA2
ENSG00000001084,769,298,26,987,105,769,635,79,1231,1319,1282,549,491,388,1855,GCLC
ENSG00000001167,454,994,36,1116,186,616,1015,232,1321,3303,1657,586,1238,535,1063,NFYA
ENSG00000001460,131,79,0,19,2,67,144,58,489,50,51,44,266,63,318,STPG1
ENSG00000001461,411,438,3,234,16,241,638,346,5274,1072,877,359,708,271,3876,NIPAL3
ENSG00000001497,1070,762,55,1606,362,987,1044,357,959,1399,2312,885,1406,684,644,LAS1L
ENSG00000001561,455,376,10,348,47,371,283,61,5,768,685,265,443,276,65,ENPP4
ENSG00000001617,0,20,0,118,2,1,59,208,856,17,61,9,1,3,1042,SEMA3F
ENSG00000001626,0,0,0,16,0,1,0,0,34,77,2,1,2,0,88,CFTR
ENSG00000001629,1709,363,24,1474,278,1355,1818,1023,2822,2206,1353,1938,1622,1023,2555,ANKIB1
ENSG00000001630,105,111,0,222,2,292,148,92,392,18,43,257,195,94,146,CYP51A1
ENSG00000001631,1689,202,11,928,107,1182,854,439,1191,1269,1062,1432,1096,1009,1288,KRIT1
ENSG00000002016,405,49,4,378,37,290,218,202,277,547,343,414,323,288,367,RAD52
