gene_names,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38
TSPAN6,0,2,0,0,0,0,64,71,963,0,4,0,0,0,572
TNMD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DPM1,410,655,29,706,415,424,707,535,1021,771,1128,535,888,542,645
SCYL3,477,292,13,490,109,475,643,165,470,1630,887,643,604,362,496
C1orf112,593,354,22,808,140,654,826,143,441,2339,1428,885,648,555,317
FGR,10,14,0,3,24,1188,8,1,0,74,16,9,2977,134,0
CFH,0,0,2,16,0,0,228,5,971,4,4,1,0,0,2560
FUCA2,12,2,0,4,8,4,12,334,2766,55,15,174,0,2,2069
GCLC,769,298,26,987,105,769,635,79,1231,1319,1282,549,491,388,1855
NFYA,454,994,36,1116,186,616,1015,232,1321,3303,1657,586,1238,535,1063
STPG1,131,79,0,19,2,67,144,58,489,50,51,44,266,63,318
NIPAL3,411,438,3,234,16,241,638,346,5274,1072,877,359,708,271,3876
LAS1L,1070,762,55,1606,362,987,1044,357,959,1399,2312,885,1406,684,644
ENPP4,455,376,10,348,47,371,283,61,5,768,685,265,443,276,65
SEMA3F,0,20,0,118,2,1,59,208,856,17,61,9,1,3,1042
CFTR,0,0,0,16,0,1,0,0,34,77,2,1,2,0,88
ANKIB1,1709,363,24,1474,278,1355,1818,1023,2822,2206,1353,1938,1622,1023,2555
CYP51A1,105,111,0,222,2,292,148,92,392,18,43,257,195,94,146
KRIT1,1689,202,11,928,107,1182,854,439,1191,1269,1062,1432,1096,1009,1288
RAD52,405,49,4,378,37,290,218,202,277,547,343,414,323,288,367
MYH16,20,7,0,9,1,15,6,2805,9,28,7,14,16,6,21
BAD,139,230,3,299,34,103,241,159,764,493,336,160,680,77,412
LAP3,1730,1376,16,1135,275,2027,1321,278,2036,1313,2842,929,2774,1256,1031
CD99,6,152,18,375,97,13,1033,519,2813,2786,1027,525,367,32,2993
HS3ST1,0,0,1,12,5,7,16,2,0,35,10,0,12,0,0
AOC1,4,1,1,1,0,24,1,0,0,6,2,0,1,0,9
WNT16,8,0,0,6,1,20,1,10,586,7,0,4,0,5,1023
HECW1,2,68,0,9,0,5,1,13,116,16,1,408,2,2,262
MAD1L1,1395,602,10,1042,90,1663,1414,244,1333,1567,2165,821,2670,1346,975
LASP1,935,408,22,1300,156,859,1910,1032,10893,2574,1218,1192,1823,665,10857
SNX11,303,1119,6,198,147,177,366,115,440,526,466,255,2105,120,327
TMEM176A,0,0,0,0,0,8,0,0,3,1,0,0,0,0,533
M6PR,2323,925,69,3403,727,1632,1738,2502,2955,2914,2151,1997,3927,1152,1520
KLHL13,135,97,6,336,41,1,0,0,225,1,0,2,2,0,297
CYP26B1,0,3,0,70,0,0,104,0,0,397,121,0,1,0,23
ICA1,1,65,12,41,20,1,9,0,1,94,277,159,321,0,0
DBNDD1,3,1,0,13,18,0,35,38,181,6,44,13,3,0,262
ALS2,207,229,20,791,104,160,742,374,2109,1006,674,235,634,55,1778
CASP10,4,17,8,121,27,6,1059,40,4,420,269,122,6,9,25
CFLAR,787,2229,17,284,488,555,3750,258,2868,1910,1471,2712,2362,705,3927
TFPI,1,7,21,766,24,1,2,0,3789,25,19,245,21,0,6544
NDUFAF7,424,311,8,560,126,521,482,301,592,324,382,587,1053,729,525
RBM5,1492,1001,37,1137,248,1485,1752,701,2930,2614,1824,2274,1778,1350,3562
MTMR7,87,37,4,143,16,90,144,39,148,316,84,202,69,100,198
SLC7A2,3,1325,0,0,0,3,0,229,1900,0,5,0,0,2,2827
ARF5,827,218,16,817,82,545,737,261,1197,1096,1022,547,631,356,720
SARM1,391,185,1,28,72,47,348,74,585,218,230,454,271,386,857
POLDIP2,1549,587,24,1256,151,1054,926,394,2237,1946,2531,812,2644,729,1604
PLXND1,361,7,7,410,0,21,433,163,1487,229,504,205,4,26,1923
AK2,4611,2695,101,3710,773,3044,3210,1083,2052,5069,6002,1996,6259,2522,1012
CD38,3552,2,4,1210,1,3575,879,6,4,880,142,49,247,3194,5
FKBP4,2657,2187,81,5360,426,1263,2386,657,1760,3621,5507,1375,7767,1345,992
KDM1A,3013,1700,102,3865,372,877,2866,867,2840,6616,5673,1366,3339,1042,2295
RBM6,1897,1145,52,1631,376,4963,2057,778,2839,2045,1939,1993,3087,2384,2717
CAMKK1,10,21,0,230,0,107,153,274,206,250,470,116,46,3,71
RECQL,1027,2658,33,805,682,949,2686,1242,3264,1388,1390,3750,1948,1218,1556
VPS50,837,148,11,572,94,727,658,268,984,873,767,607,967,555,671
HSPB6,14,3,0,4,0,4,6,11,218,0,10,1,2,4,439
ARHGAP33,75,37,0,148,9,101,93,0,95,377,181,227,79,132,179
NDUFAB1,1030,1398,49,1520,251,757,1177,526,1426,1438,1996,966,2377,753,634
PDK4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4
SLC22A16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMYND10,13,14,0,28,1,16,77,4,12,80,40,90,10,29,5
ABCB5,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1
ARX,0,0,0,0,0,3,3,0,0,2,3,1,0,3,0
SLC25A13,499,184,1,179,50,200,42,189,440,206,131,171,748,457,480
ST7,434,258,9,397,173,374,6,117,525,186,172,3236,307,123,543
CDC27,1514,1511,46,1686,500,2156,1737,789,4441,3828,4126,1864,3216,1367,3282
SLC4A1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CALCR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HCCS,223,235,12,288,124,166,271,230,682,296,373,227,491,161,363
DVL2,254,352,13,856,61,564,998,389,1105,1452,1576,744,1325,275,923
PRSS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPF1,3089,1096,34,2592,308,2010,2070,858,2933,4050,3709,1583,2322,1982,2118
SKAP2,270,21,0,1,90,465,0,435,648,3,1,56,1649,501,787
SLC25A5,2279,2439,128,5004,1382,3033,3394,1640,2261,4832,4677,4591,5888,1975,1560
MCUB,388,79,12,762,66,1205,921,145,370,1279,1379,176,905,533,260
HOXA11,0,0,0,0,0,0,0,0,0,0,27,34,0,2,4
POLR2J,735,91,10,567,84,403,434,173,583,518,745,411,499,453,306
DHX33,810,600,13,1127,180,1013,560,256,849,1407,1054,787,1684,374,672
MEOX1,1,1,0,0,67,0,0,0,5,0,4,528,1,1,0
THSD7A,271,30,3,24,2,1557,0,1,8,2,13,1,22,0,20
LIG3,2193,322,27,1180,271,828,884,378,1213,3869,2377,1393,1407,988,1551
RPAP3,1005,673,29,735,155,942,849,168,963,1406,1404,1133,1393,851,682
ACSM3,474,82,0,145,9,32,15,34,68,9,5,58,146,66,33
REXO5,91,105,0,309,32,176,47,106,184,16,1,345,268,203,98
CIAPIN1,1103,749,32,834,172,409,697,220,1173,1129,1681,722,1830,369,734
SPPL2B,695,93,4,588,33,795,467,224,557,1284,1013,410,464,825,643
ATOSB,43,18,1,52,6,29,167,201,657,177,144,36,71,51,535
COPZ2,34,0,0,0,0,2,1,67,1061,2,47,1,8,5,674
PRKAR2B,2055,3,1,10,1,1541,192,55,211,264,107,9,147,2104,223
MSL3,279,1442,9,252,151,298,457,196,521,795,631,1431,371,236,477
CREBBP,1287,226,19,790,232,1048,627,344,1682,1526,601,1229,853,699,4335
TSPOAP1,280,114,14,663,23,921,995,190,41,1848,481,423,99,199,71
MPO,2,122,0,0,0,1,1,0,0,1,0,191,0,0,0
PON1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
GCFC2,1009,567,31,902,196,488,398,231,741,1355,1311,735,799,476,682
WDR54,133,270,7,466,69,172,498,352,215,634,491,426,580,192,148
CROT,263,194,2,220,22,361,62,50,856,293,268,283,244,165,1305
ABCB4,35,29,0,50,5,1236,2,2,6,13,13,9,889,50,4
KMT2E,3165,324,37,1803,269,1220,1959,622,2119,3409,1202,3347,1618,1387,3156
RHBDD2,135,99,10,241,26,107,254,42,342,417,294,284,468,88,540
SOX8,0,6,0,7,0,0,36,0,8,11,25,0,0,1,3
IBTK,101,78,0,70,2,53,98,78,90,64,44,197,131,74,61
ZNF195,1482,674,31,1064,144,792,1129,161,528,2143,1195,925,1628,690,704
MYCBP2,6650,4409,179,5618,1825,6019,5873,2235,6087,7876,4861,7844,14513,14997,6850
FBXL3,824,613,25,786,179,492,1301,804,2295,1347,1055,1340,971,1276,1442
ITGAL,427,1958,11,72,36,822,7637,2,1,2950,427,4103,460,1875,3
PDK2,109,25,1,75,9,81,74,13,424,211,208,145,49,59,535
ITGA3,135,47,5,48,5,1,859,12269,7293,290,392,72,5,93,3434
ZFX,1012,491,29,864,239,833,1084,444,2646,1321,1020,905,958,561,2523
LAMP2,1575,292,39,1158,177,811,785,868,4466,2035,1182,612,1189,607,3096
ITGA2B,1,1,0,3,0,4,18,1,3,31,27,20,4,1,16
ASB4,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
GDE1,543,374,8,765,140,527,544,450,2190,957,1083,580,1058,366,2200
REX1BD,530,223,10,288,39,372,494,156,542,501,455,395,441,391,383
CRLF1,216,113,1,103,12,142,116,70,113,123,143,77,204,107,131
OSBPL7,207,38,2,208,27,286,288,202,257,395,278,320,287,257,233
TMEM98,4,0,0,0,0,0,6,19,2464,197,317,7,0,0,1804
YBX2,6,0,6,376,0,0,75,1,0,269,460,0,2,0,2
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAP3K14,223,360,1,139,82,218,224,498,375,358,187,733,768,208,588
ABCC8,0,0,0,0,0,0,147,0,0,0,0,3,2,0,0
CACNG3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TMEM132A,13,10,0,4,3,55,31,819,2399,232,208,185,47,73,1388
AP2B1,1965,977,62,1821,303,865,2195,1304,5930,4371,2669,2054,2166,832,8172
TAC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF263,557,459,27,1054,157,915,941,439,1045,1799,1104,855,1284,483,716
CX3CL1,0,154,0,0,0,0,0,0,7,0,1,0,1,0,3
SPATA20,47,42,0,50,53,293,123,369,883,205,192,811,0,19,1459
CACNA1G,1,0,0,1,0,0,20,0,5,0,4,0,2,0,14
TNFRSF12A,24,24,2,36,6,9,313,1384,7354,56,76,53,254,11,2539
DLX6,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
MAP3K9,270,7,0,244,19,371,619,428,18,1011,636,0,292,255,15
RALA,437,305,8,469,102,337,460,414,1592,833,562,243,1759,297,1260
BAIAP2L1,39,81,0,17,54,151,19,220,229,105,10,905,20,10,392
KDM7A,1230,123,19,345,13,65,496,126,244,734,489,259,177,126,400
ETV1,1,54,0,2,33,0,0,261,444,11,3,451,2,1,726
AGK,153,118,13,367,72,320,308,101,288,470,283,344,455,77,288
ALDH3B1,25,9,0,17,2,38,11,227,435,58,19,4,62,19,611
TTC22,0,45,0,0,0,1,0,0,0,0,0,31,0,0,0
PHTF2,1648,330,10,621,97,1285,1012,194,2776,1181,612,1138,1260,1391,1692
CCL26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
FARP2,672,1000,11,979,184,733,683,298,1342,1577,1869,1979,1764,1157,1275
USH1C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GGCT,450,463,29,855,84,578,389,136,271,491,891,466,1322,365,122
DBF4,1993,423,19,1842,214,1564,941,153,462,1787,2536,1736,1981,1532,377
TBXA2R,0,0,0,2,0,0,0,0,16,0,0,1,0,0,48
IFRD1,1527,515,37,1281,128,582,773,672,1486,1079,900,1022,1289,665,1415
LGALS14,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
COX10,136,220,5,455,68,292,240,117,273,446,452,273,475,130,281
GTF2IRD1,1,0,3,37,9,76,51,223,424,225,203,98,1,1,699
PAF1,438,530,22,844,165,407,634,387,1824,518,1029,224,863,363,1076
VPS41,741,741,21,1012,249,730,837,448,2508,1396,1346,859,2224,224,1701
ARHGAP44,141,57,0,51,35,140,50,4,69,244,267,99,197,19,42
ELAC2,744,2054,66,1901,353,1692,1394,575,1870,2613,3430,1906,2604,566,1396
